"CU","bench.par","mean","50%","10%","90%","n_eff","Rhat"
"Nordenskiold","Seq",4013.16361,3968.16708,2923.66534,5112.95106,NA,NA
"Stewart","Seq",5572.81559,5183.175,2895.45244,8297.15884,NA,NA
"Whiteandtribs.","Seq",6835.56542,6188.84755,2481.99308,11462.10394,NA,NA
"YukonR.Teslinheadwaters","Seq",8599.63426,8517.37423,5858.40175,11300.87515,NA,NA
"UpperYukonR.","Seq",8936.42001,8196.15331,3525.50406,14688.13629,NA,NA
"Big.Salmon","Seq",9230.55334,8372.52695,3337.99955,15085.69798,NA,NA
"Pelly","Seq",13064.71557,11324.08859,3774.12589,23037.91325,NA,NA
"NorthernYukonR.andtribs.","Seq",17476.62075,11625.43337,3777.12914,26538.97523,NA,NA
"MiddleYukonR.andtribs.","Seq",19116.29529,18486.86044,10391.71517,26899.79718,NA,NA
"Nordenskiold","Sgen",451.25003,437.92441,278.27936,635.22826,NA,NA
"Stewart","Sgen",793.69862,742.05062,425.41558,1182.0583,NA,NA
"Whiteandtribs.","Sgen",824.32732,799.02876,371.3428,1265.91206,NA,NA
"YukonR.Teslinheadwaters","Sgen",854.18363,823.35678,495.95189,1250.25636,NA,NA
"UpperYukonR.","Sgen",1010.18598,979.45175,480.78239,1501.04991,NA,NA
"Big.Salmon","Sgen",1467.26425,1419.15497,750.04947,2181.20114,NA,NA
"Pelly","Sgen",2096.90027,2077.73572,991.29785,3096.43456,NA,NA
"MiddleYukonR.andtribs.","Sgen",2490.69573,2413.42608,1379.10933,3664.88936,NA,NA
"NorthernYukonR.andtribs.","Sgen",3780.90199,2413.60331,1152.59021,5285.12674,NA,NA
"Nordenskiold","Smsr",2846.91699,2756.38655,2205.32661,3576.00773,NA,NA
"Stewart","Smsr",4825.87057,4419.3614,3257.43916,6649.78372,NA,NA
"Whiteandtribs.","Smsr",5421.88812,5099.71871,3741.98155,7324.75654,NA,NA
"YukonR.Teslinheadwaters","Smsr",5757.8532,5562.72384,4455.85541,7248.47632,NA,NA
"UpperYukonR.","Smsr",6741.73936,6273.32696,4891.66717,8772.23798,NA,NA
"Big.Salmon","Smsr",9073.50829,8433.94991,6224.29318,12434.55488,NA,NA
"Pelly","Smsr",13464.76289,12573.28192,9779.71597,17883.62761,NA,NA
"MiddleYukonR.andtribs.","Smsr",15448.08363,14656.13398,11228.29105,20398.7336,NA,NA
"NorthernYukonR.andtribs.","Smsr",24833.44715,15127.51755,9416.50211,33724.84115,NA,NA
