"Unit","Year","Spawners"
"NorthernYukonR.andtribs.",1985,1676
"NorthernYukonR.andtribs.",1986,3260
"NorthernYukonR.andtribs.",1987,3165
"NorthernYukonR.andtribs.",1988,13420
"NorthernYukonR.andtribs.",1989,5010
"NorthernYukonR.andtribs.",1990,19833
"NorthernYukonR.andtribs.",1991,9260
"NorthernYukonR.andtribs.",1992,6526
"NorthernYukonR.andtribs.",1993,13629
"NorthernYukonR.andtribs.",1994,16192
"NorthernYukonR.andtribs.",1995,9305
"NorthernYukonR.andtribs.",1996,6123
"NorthernYukonR.andtribs.",1997,8593
"NorthernYukonR.andtribs.",1998,5615
"NorthernYukonR.andtribs.",1999,4161
"NorthernYukonR.andtribs.",2000,2475
"NorthernYukonR.andtribs.",2001,6908
"NorthernYukonR.andtribs.",2002,7248
"NorthernYukonR.andtribs.",2003,18310
"NorthernYukonR.andtribs.",2004,11265
"NorthernYukonR.andtribs.",2005,9853
"NorthernYukonR.andtribs.",2006,10127
"NorthernYukonR.andtribs.",2007,5194
"NorthernYukonR.andtribs.",2008,5197
"NorthernYukonR.andtribs.",2009,6676
"NorthernYukonR.andtribs.",2010,3913
"NorthernYukonR.andtribs.",2011,3972
"NorthernYukonR.andtribs.",2012,4214
"NorthernYukonR.andtribs.",2013,429
"NorthernYukonR.andtribs.",2014,4919
"NorthernYukonR.andtribs.",2015,5303
"NorthernYukonR.andtribs.",2016,6792
"NorthernYukonR.andtribs.",2017,5860
"NorthernYukonR.andtribs.",2018,4716
"NorthernYukonR.andtribs.",2019,2263
"NorthernYukonR.andtribs.",2020,1658
"NorthernYukonR.andtribs.",2021,2877
"NorthernYukonR.andtribs.",2022,508
"NorthernYukonR.andtribs.",2023,2008
"NorthernYukonR.andtribs.",2024,2478
"Whiteandtribs.",1985,2246
"Whiteandtribs.",1986,3987
"Whiteandtribs.",1987,2722
"Whiteandtribs.",1988,1757
"Whiteandtribs.",1989,2361
"Whiteandtribs.",1990,1725
"Whiteandtribs.",1991,974
"Whiteandtribs.",1992,3345
"Whiteandtribs.",1993,10316
"Whiteandtribs.",1994,6596
"Whiteandtribs.",1995,4078
"Whiteandtribs.",1996,10503
"Whiteandtribs.",1997,4838
"Whiteandtribs.",1998,2675
"Whiteandtribs.",1999,3764
"Whiteandtribs.",2000,2817
"Whiteandtribs.",2001,4537
"Whiteandtribs.",2002,2996
"Whiteandtribs.",2003,5038
"Whiteandtribs.",2004,3376
"Whiteandtribs.",2005,13885
"Whiteandtribs.",2006,1441
"Whiteandtribs.",2007,3477
"Whiteandtribs.",2008,2085
"Whiteandtribs.",2009,3259
"Whiteandtribs.",2010,1445
"Whiteandtribs.",2011,2332
"Whiteandtribs.",2012,2838
"Whiteandtribs.",2013,157
"Whiteandtribs.",2014,5028
"Whiteandtribs.",2015,5530
"Whiteandtribs.",2016,2612
"Whiteandtribs.",2017,3323
"Whiteandtribs.",2018,2730
"Whiteandtribs.",2019,2396
"Whiteandtribs.",2020,505
"Whiteandtribs.",2021,1281
"Whiteandtribs.",2022,2259
"Whiteandtribs.",2023,1017
"Whiteandtribs.",2024,767
"Pelly",1985,7868
"Pelly",1986,10456
"Pelly",1987,12177
"Pelly",1988,7144
"Pelly",1989,18036
"Pelly",1990,31697
"Pelly",1991,11576
"Pelly",1992,11260
"Pelly",1993,8897
"Pelly",1994,10950
"Pelly",1995,8380
"Pelly",1996,10004
"Pelly",1997,9965
"Pelly",1998,4207
"Pelly",1999,6644
"Pelly",2000,5172
"Pelly",2001,10533
"Pelly",2002,6562
"Pelly",2003,22212
"Pelly",2004,10771
"Pelly",2005,11471
"Pelly",2006,12487
"Pelly",2007,8767
"Pelly",2008,4277
"Pelly",2009,15809
"Pelly",2010,7499
"Pelly",2011,8564
"Pelly",2012,6465
"Pelly",2013,11114
"Pelly",2014,6780
"Pelly",2015,16183
"Pelly",2016,13475
"Pelly",2017,8650
"Pelly",2018,7344
"Pelly",2019,4682
"Pelly",2020,6407
"Pelly",2021,5791
"Pelly",2022,941
"Pelly",2023,1898
"Pelly",2024,1715
"Stewart",1985,6164
"Stewart",1986,5797
"Stewart",1987,3481
"Stewart",1988,3015
"Stewart",1989,4218
"Stewart",1990,5476
"Stewart",1991,4952
"Stewart",1992,3210
"Stewart",1993,2262
"Stewart",1994,5858
"Stewart",1995,7614
"Stewart",1996,4666
"Stewart",1997,5994
"Stewart",1998,2798
"Stewart",1999,2711
"Stewart",2000,1679
"Stewart",2001,5052
"Stewart",2002,4586
"Stewart",2003,3609
"Stewart",2004,3425
"Stewart",2005,2595
"Stewart",2006,6577
"Stewart",2007,3210
"Stewart",2008,2119
"Stewart",2009,5498
"Stewart",2010,2477
"Stewart",2011,2180
"Stewart",2012,877
"Stewart",2013,3244
"Stewart",2014,2682
"Stewart",2015,5594
"Stewart",2016,6304
"Stewart",2017,3484
"Stewart",2018,3081
"Stewart",2019,3732
"Stewart",2020,2183
"Stewart",2021,3105
"Stewart",2022,132
"Stewart",2023,667
