Symbol,Description
Indices,
i,"Conservation Unit, $i$=1, $\ldots$ ,9"
y,"Year, y=1985, $\ldots$ ,2016"
d,"Julian day, d=160, $\ldots$ ,285"
g,"Gear type, 1=Sonar, 2=Fish Wheel"
Data and inputs,
x_{igyd},Observed CU composition by gear/year/day
E_{gyd},Border passage counts by gear/year/day
I_y,"Border passage index from stock aggregate run-reconstruction (Connors et al., 2022b)"
CV_y,Coefficient of variation around border passage index
Parameters,
\widehat{R}_{iy},Annual border passage by CU
\widehat{\mu}_{iy},Mean Julian date of arrival by CU in first year
\sigma_i,Standard deviation around mean Julian date of arrival by CU
\varepsilon_{iy},Process error in arrival timing by CU/year
\Sigma,Process error covariance in arrival timing
q_{gy}^{(E)},Daily counts catchability by gear and year
Latent variables,
N_{iyd},Daily numbers arriving by CU /year
\rho_{iyd},Daily arrival proportions by CU /year
\mu_{iyd},Mean Julian date of arrival by CU /year
\widehat{E}_{igyd},Predicted daily counts by CU /gear/year
\widehat{I}_{iy},Predicted border passage index
p_{igyd},CU composition by gear/year/day
\tau_y,Standard deviation for log border passage index 
