"HCR","CU","year","H.50","H.25","H.75"
"IMEG","Big.Salmon",2024,0,0,0
"IMEG","Big.Salmon",2025,107,66,224.25
"IMEG","Big.Salmon",2026,189.5,91,865.5
"IMEG","Big.Salmon",2027,374.5,158.75,2666.75
"IMEG","Big.Salmon",2028,321.5,150.5,2174.5
"IMEG","Big.Salmon",2029,337,159.75,2454
"IMEG","Big.Salmon",2030,468.5,164.75,3119.25
"IMEG","Big.Salmon",2031,899.5,189.75,3983.25
"IMEG","Big.Salmon",2032,4020,1235.5,6530.25
"IMEG","Big.Salmon",2033,4164.5,1134.75,6617.5
"IMEG","Big.Salmon",2034,4293,897.5,6702.25
"IMEG","Big.Salmon",2035,3925,661.5,6522.75
"IMEG","Big.Salmon",2036,4060,1120,6578.25
"IMEG","Big.Salmon",2037,3824.5,929,6503.25
"IMEG","Big.Salmon",2038,3717,791,6386.5
"IMEG","Big.Salmon",2039,3971,903.25,6522
"IMEG","Big.Salmon",2040,4180.5,1044,6600.25
"IMEG","Big.Salmon",2041,3859.5,951.75,6424.25
"IMEG","Big.Salmon",2042,3836.5,835.75,6142
"IMEG","Big.Salmon",2043,3679.5,742.75,6242.25
"IMEG","Big.Salmon",2044,3862,931.5,6370.75
"IMEG","Big.Salmon",2045,3673,724.5,6445.75
"IMEG","Big.Salmon",2046,3837.5,855.75,6287.75
"IMEG","Big.Salmon",2047,3921,794.5,6707.25
"IMEG","Big.Salmon",2048,4103,1083,6635
"IMEG","Big.Salmon",2049,4134,928.75,6684
"IMEG","Big.Salmon",2050,3888.5,765.75,6563
"IMEG","Big.Salmon",2051,4057.5,711.25,6757.75
"IMEG","MiddleYukonR.andtribs.",2024,0,0,0
"IMEG","MiddleYukonR.andtribs.",2025,276,167,582
"IMEG","MiddleYukonR.andtribs.",2026,498,260.5,2473.5
"IMEG","MiddleYukonR.andtribs.",2027,937.5,386.75,6447
"IMEG","MiddleYukonR.andtribs.",2028,640.5,310,4259
"IMEG","MiddleYukonR.andtribs.",2029,660,293.75,4734.75
"IMEG","MiddleYukonR.andtribs.",2030,1006.5,354.75,6824
"IMEG","MiddleYukonR.andtribs.",2031,2152,432.25,9774.5
"IMEG","MiddleYukonR.andtribs.",2032,10217,2715.5,16134.25
"IMEG","MiddleYukonR.andtribs.",2033,10188,2739.75,16491.75
"IMEG","MiddleYukonR.andtribs.",2034,10074.5,2183.5,16225.5
"IMEG","MiddleYukonR.andtribs.",2035,9323.5,1540.5,15390
"IMEG","MiddleYukonR.andtribs.",2036,9965.5,2607.75,15892.25
"IMEG","MiddleYukonR.andtribs.",2037,9262.5,2388,16113.75
"IMEG","MiddleYukonR.andtribs.",2038,9293,1796,15394.25
"IMEG","MiddleYukonR.andtribs.",2039,9649.5,2198.5,15661.75
"IMEG","MiddleYukonR.andtribs.",2040,9818.5,2522,15968
"IMEG","MiddleYukonR.andtribs.",2041,9163.5,2347,15189
"IMEG","MiddleYukonR.andtribs.",2042,9242,2136.5,14794
"IMEG","MiddleYukonR.andtribs.",2043,9095.5,1788.5,14964.5
"IMEG","MiddleYukonR.andtribs.",2044,9147,2240,15501.25
"IMEG","MiddleYukonR.andtribs.",2045,8714,1563,15566.5
"IMEG","MiddleYukonR.andtribs.",2046,8808.5,2080.75,15377.75
"IMEG","MiddleYukonR.andtribs.",2047,9584,1901.5,16235.25
"IMEG","MiddleYukonR.andtribs.",2048,9666,2703.75,15729
"IMEG","MiddleYukonR.andtribs.",2049,10007,2228.75,15995.5
"IMEG","MiddleYukonR.andtribs.",2050,9296,1905.5,15247.25
"IMEG","MiddleYukonR.andtribs.",2051,9764.5,1886.25,16056.75
"IMEG","Nordenskiold",2024,0,0,0
"IMEG","Nordenskiold",2025,120.5,70,263
"IMEG","Nordenskiold",2026,173.5,79,702
"IMEG","Nordenskiold",2027,274,99,1593.25
"IMEG","Nordenskiold",2028,232,86,1164.25
"IMEG","Nordenskiold",2029,281.5,97.5,1578
"IMEG","Nordenskiold",2030,297.5,83,1729.5
"IMEG","Nordenskiold",2031,340.5,77.75,1521.5
"IMEG","Nordenskiold",2032,933.5,235.25,2328
"IMEG","Nordenskiold",2033,862,184,2136.25
"IMEG","Nordenskiold",2034,715.5,159.5,1929.5
"IMEG","Nordenskiold",2035,756,155.5,2099.5
"IMEG","Nordenskiold",2036,967,232,2440.25
"IMEG","Nordenskiold",2037,1009,248,2602.25
"IMEG","Nordenskiold",2038,1103.5,226.25,2618.75
"IMEG","Nordenskiold",2039,1001.5,237.75,2692.75
"IMEG","Nordenskiold",2040,1158,272.75,2590
"IMEG","Nordenskiold",2041,1091.5,245,2590.75
"IMEG","Nordenskiold",2042,1052,231.75,2652.25
"IMEG","Nordenskiold",2043,1102.5,236.75,2521.75
"IMEG","Nordenskiold",2044,1093.5,285.75,2742.25
"IMEG","Nordenskiold",2045,988,232.5,2665.25
"IMEG","Nordenskiold",2046,1091,253,2707.5
"IMEG","Nordenskiold",2047,1068.5,251.75,2881.5
"IMEG","Nordenskiold",2048,1181,291.75,2994.25
"IMEG","Nordenskiold",2049,1254.5,284.75,3081.75
"IMEG","Nordenskiold",2050,1260,287,2722.75
"IMEG","Nordenskiold",2051,1171,250.5,2781
"IMEG","NorthernYukonR.andtribs.",2024,0,0,0
"IMEG","NorthernYukonR.andtribs.",2025,127,76,273
"IMEG","NorthernYukonR.andtribs.",2026,218.5,115.75,1033.75
"IMEG","NorthernYukonR.andtribs.",2027,413,168,2825.25
"IMEG","NorthernYukonR.andtribs.",2028,286,140,1742.25
"IMEG","NorthernYukonR.andtribs.",2029,396.5,175.75,2709.5
"IMEG","NorthernYukonR.andtribs.",2030,538,206.75,3656.25
"IMEG","NorthernYukonR.andtribs.",2031,1081,226.5,4943.75
"IMEG","NorthernYukonR.andtribs.",2032,4984,1495.5,7874.25
"IMEG","NorthernYukonR.andtribs.",2033,5238.5,1412.5,8162.75
"IMEG","NorthernYukonR.andtribs.",2034,4991.5,1137.25,8171.25
"IMEG","NorthernYukonR.andtribs.",2035,4897.5,855.25,7905.75
"IMEG","NorthernYukonR.andtribs.",2036,5361.5,1437.75,7940.5
"IMEG","NorthernYukonR.andtribs.",2037,5043,1142.5,8106.5
"IMEG","NorthernYukonR.andtribs.",2038,4832,930.75,7653.5
"IMEG","NorthernYukonR.andtribs.",2039,5026.5,1131.25,7942.5
"IMEG","NorthernYukonR.andtribs.",2040,5047,1393.75,7866.25
"IMEG","NorthernYukonR.andtribs.",2041,4711,1211,7729.25
"IMEG","NorthernYukonR.andtribs.",2042,4604,1160.5,7594.5
"IMEG","NorthernYukonR.andtribs.",2043,4529,1021.5,7498.75
"IMEG","NorthernYukonR.andtribs.",2044,4785.5,1089.25,7878.25
"IMEG","NorthernYukonR.andtribs.",2045,4800,820,7986.5
"IMEG","NorthernYukonR.andtribs.",2046,4582,1134,7579.25
"IMEG","NorthernYukonR.andtribs.",2047,4847,1008.25,8030
"IMEG","NorthernYukonR.andtribs.",2048,4991,1412,7791
"IMEG","NorthernYukonR.andtribs.",2049,5186,1172.25,7914.75
"IMEG","NorthernYukonR.andtribs.",2050,4885,961.5,7759.5
"IMEG","NorthernYukonR.andtribs.",2051,4944.5,1004.25,8079.25
"IMEG","Pelly",2024,0,0,0
"IMEG","Pelly",2025,130.5,75,290.5
"IMEG","Pelly",2026,278,143,1288
"IMEG","Pelly",2027,505.5,205,3447.5
"IMEG","Pelly",2028,271,125,1796
"IMEG","Pelly",2029,311,136,2074.25
"IMEG","Pelly",2030,445,158,3048.25
"IMEG","Pelly",2031,1080.5,230.75,4920.25
"IMEG","Pelly",2032,5497,1797.5,9052.5
"IMEG","Pelly",2033,5611,1651,9484.5
"IMEG","Pelly",2034,5185,1139.75,8635.75
"IMEG","Pelly",2035,5069,942.25,8409.25
"IMEG","Pelly",2036,5661.5,1551.25,9490.5
"IMEG","Pelly",2037,5765.5,1407.5,9760.25
"IMEG","Pelly",2038,5458,1171.25,9488
"IMEG","Pelly",2039,5534,1305.75,9736.75
"IMEG","Pelly",2040,5746,1542,9563.25
"IMEG","Pelly",2041,5572,1532.75,9417.75
"IMEG","Pelly",2042,5409,1340.5,9323.5
"IMEG","Pelly",2043,5443.5,1142.25,9545
"IMEG","Pelly",2044,5636,1230.25,9581.25
"IMEG","Pelly",2045,5265.5,1028.5,9644.5
"IMEG","Pelly",2046,5299,1354.75,9397.25
"IMEG","Pelly",2047,5642.5,1181.25,10227
"IMEG","Pelly",2048,5996,1462,9910.25
"IMEG","Pelly",2049,6043.5,1481.25,9872.75
"IMEG","Pelly",2050,5667,1181,9729
"IMEG","Pelly",2051,5998.5,1145.75,10072
"IMEG","Stewart",2024,0,0,0
"IMEG","Stewart",2025,120,70,269
"IMEG","Stewart",2026,180,92,810.75
"IMEG","Stewart",2027,268.5,106.75,1761.5
"IMEG","Stewart",2028,154.5,69,919
"IMEG","Stewart",2029,233.5,108,1653.25
"IMEG","Stewart",2030,377.5,132,2462.75
"IMEG","Stewart",2031,657,143,3218
"IMEG","Stewart",2032,2784.5,843.25,4504.75
"IMEG","Stewart",2033,2471.5,744.5,4625.25
"IMEG","Stewart",2034,2500.5,555.5,4447.75
"IMEG","Stewart",2035,2333.5,419,4140.75
"IMEG","Stewart",2036,2465,697.25,4215
"IMEG","Stewart",2037,2464.5,593.5,4342.75
"IMEG","Stewart",2038,2365,514,4266.75
"IMEG","Stewart",2039,2356.5,562.25,4430.5
"IMEG","Stewart",2040,2538,631.75,4490
"IMEG","Stewart",2041,2415.5,659.25,4191.5
"IMEG","Stewart",2042,2353.5,549.75,4081.5
"IMEG","Stewart",2043,2250,444.25,4145
"IMEG","Stewart",2044,2334,519.5,4150.75
"IMEG","Stewart",2045,2274,423.75,4404.25
"IMEG","Stewart",2046,2269.5,563.75,4415.25
"IMEG","Stewart",2047,2325.5,521,4488.75
"IMEG","Stewart",2048,2428,638.75,4349
"IMEG","Stewart",2049,2555,572.75,4475
"IMEG","Stewart",2050,2461.5,517.75,4282.5
"IMEG","Stewart",2051,2435,470.25,4430.25
"IMEG","UpperYukonR.",2024,0,0,0
"IMEG","UpperYukonR.",2025,141.5,81,343
"IMEG","UpperYukonR.",2026,226,104,976.75
"IMEG","UpperYukonR.",2027,342,119,2124.25
"IMEG","UpperYukonR.",2028,182,72,946.75
"IMEG","UpperYukonR.",2029,241.5,96,1501.25
"IMEG","UpperYukonR.",2030,407.5,138,2808.5
"IMEG","UpperYukonR.",2031,679.5,150,3359
"IMEG","UpperYukonR.",2032,2579,755.25,5224.75
"IMEG","UpperYukonR.",2033,2654,725.75,5362.75
"IMEG","UpperYukonR.",2034,2504,589,5229.5
"IMEG","UpperYukonR.",2035,2278,473.5,5033.5
"IMEG","UpperYukonR.",2036,2485,670,5182.25
"IMEG","UpperYukonR.",2037,2343,554.75,4936
"IMEG","UpperYukonR.",2038,2178,481.5,4643.75
"IMEG","UpperYukonR.",2039,2073,554.5,4891.75
"IMEG","UpperYukonR.",2040,2259,587.25,4777.5
"IMEG","UpperYukonR.",2041,2222.5,563.25,4563.75
"IMEG","UpperYukonR.",2042,2192,525.5,4715.75
"IMEG","UpperYukonR.",2043,2062.5,456.75,4756.75
"IMEG","UpperYukonR.",2044,2161,532.75,4848.25
"IMEG","UpperYukonR.",2045,2123.5,410.75,4588.5
"IMEG","UpperYukonR.",2046,2164,489.25,4632.25
"IMEG","UpperYukonR.",2047,2078,477,4994.5
"IMEG","UpperYukonR.",2048,2330.5,560.5,4764.5
"IMEG","UpperYukonR.",2049,2280,551.75,5040.75
"IMEG","UpperYukonR.",2050,2260,519.5,4887.25
"IMEG","UpperYukonR.",2051,2311.5,486.25,4730.25
"IMEG","Whiteandtribs.",2024,0,0,0
"IMEG","Whiteandtribs.",2025,61,34,138.25
"IMEG","Whiteandtribs.",2026,114.5,54,491.25
"IMEG","Whiteandtribs.",2027,270,97,1713.75
"IMEG","Whiteandtribs.",2028,222,102,1364
"IMEG","Whiteandtribs.",2029,195,79,1215
"IMEG","Whiteandtribs.",2030,228,78,1426.25
"IMEG","Whiteandtribs.",2031,495,104,2088.5
"IMEG","Whiteandtribs.",2032,2234,640.75,4023.5
"IMEG","Whiteandtribs.",2033,2706.5,695.75,4415.75
"IMEG","Whiteandtribs.",2034,2452,585.5,4466.5
"IMEG","Whiteandtribs.",2035,2221.5,423.25,4122.75
"IMEG","Whiteandtribs.",2036,2301.5,628.25,4097
"IMEG","Whiteandtribs.",2037,2193.5,565.5,4121.5
"IMEG","Whiteandtribs.",2038,2106,478.25,4040.5
"IMEG","Whiteandtribs.",2039,2386.5,561.75,4009.75
"IMEG","Whiteandtribs.",2040,2370,685.25,4049.25
"IMEG","Whiteandtribs.",2041,2300.5,526.5,4070.25
"IMEG","Whiteandtribs.",2042,2083.5,529.25,3812.25
"IMEG","Whiteandtribs.",2043,2151,421.25,3782.5
"IMEG","Whiteandtribs.",2044,2122,572,4106.5
"IMEG","Whiteandtribs.",2045,2091,391.25,3928.5
"IMEG","Whiteandtribs.",2046,2055.5,505.5,3805.5
"IMEG","Whiteandtribs.",2047,2211,421,4229.5
"IMEG","Whiteandtribs.",2048,2299,598.75,3964.5
"IMEG","Whiteandtribs.",2049,2321.5,539.75,4192.25
"IMEG","Whiteandtribs.",2050,2178,527.25,3958.75
"IMEG","Whiteandtribs.",2051,2140.5,427.75,3990.5
"IMEG","YukonR.Teslinheadwaters",2024,0,0,0
"IMEG","YukonR.Teslinheadwaters",2025,224,132.75,479.5
"IMEG","YukonR.Teslinheadwaters",2026,276.5,148.75,1396.5
"IMEG","YukonR.Teslinheadwaters",2027,441.5,180.75,2751.5
"IMEG","YukonR.Teslinheadwaters",2028,349,166,2197
"IMEG","YukonR.Teslinheadwaters",2029,475.5,219.75,3595.25
"IMEG","YukonR.Teslinheadwaters",2030,657,229.75,4071
"IMEG","YukonR.Teslinheadwaters",2031,1076.5,230,4700.75
"IMEG","YukonR.Teslinheadwaters",2032,4089.5,1241.5,6646.5
"IMEG","YukonR.Teslinheadwaters",2033,4035,1081.25,6505
"IMEG","YukonR.Teslinheadwaters",2034,3712,828.5,6039.75
"IMEG","YukonR.Teslinheadwaters",2035,3292.5,580.75,5604.75
"IMEG","YukonR.Teslinheadwaters",2036,3653,981,5995.25
"IMEG","YukonR.Teslinheadwaters",2037,3675.5,918,6201.5
"IMEG","YukonR.Teslinheadwaters",2038,3847,753,6486.25
"IMEG","YukonR.Teslinheadwaters",2039,4051,956.75,6726.25
"IMEG","YukonR.Teslinheadwaters",2040,4145.5,1085,6611
"IMEG","YukonR.Teslinheadwaters",2041,3883.5,970.5,6313
"IMEG","YukonR.Teslinheadwaters",2042,3818.5,910.5,6404.25
"IMEG","YukonR.Teslinheadwaters",2043,3617.5,733.75,6217.25
"IMEG","YukonR.Teslinheadwaters",2044,3919.5,966,6543.5
"IMEG","YukonR.Teslinheadwaters",2045,3856.5,641.5,6416.25
"IMEG","YukonR.Teslinheadwaters",2046,3806.5,895.5,6570.75
"IMEG","YukonR.Teslinheadwaters",2047,3828.5,783.25,7027.75
"IMEG","YukonR.Teslinheadwaters",2048,4170,1165.25,6757.75
"IMEG","YukonR.Teslinheadwaters",2049,4202,1028.75,6866.25
"IMEG","YukonR.Teslinheadwaters",2050,4109.5,866.75,6559.75
"IMEG","YukonR.Teslinheadwaters",2051,4172,852.25,6746.25
"IMEG.cap","Big.Salmon",2024,0,0,0
"IMEG.cap","Big.Salmon",2025,108,63,220
"IMEG.cap","Big.Salmon",2026,188.5,95,921.5
"IMEG.cap","Big.Salmon",2027,400.5,150.75,2654.75
"IMEG.cap","Big.Salmon",2028,330,150.75,2309
"IMEG.cap","Big.Salmon",2029,332,146.75,2406.25
"IMEG.cap","Big.Salmon",2030,461,164,3210.25
"IMEG.cap","Big.Salmon",2031,906,208,3857.25
"IMEG.cap","Big.Salmon",2032,2607,850.5,3788.25
"IMEG.cap","Big.Salmon",2033,2791,1258.25,3866.25
"IMEG.cap","Big.Salmon",2034,2825.5,869.5,3906.25
"IMEG.cap","Big.Salmon",2035,2801,1159.75,3821.75
"IMEG.cap","Big.Salmon",2036,2691.5,882.75,3818.25
"IMEG.cap","Big.Salmon",2037,2871,1275.25,3895
"IMEG.cap","Big.Salmon",2038,3134.5,1741.25,4056
"IMEG.cap","Big.Salmon",2039,3114.5,1547,4161.5
"IMEG.cap","Big.Salmon",2040,3111,1639,4242.25
"IMEG.cap","Big.Salmon",2041,2963.5,1300,4144.5
"IMEG.cap","Big.Salmon",2042,3113.5,1840.25,4144
"IMEG.cap","Big.Salmon",2043,3153,1765,4116.25
"IMEG.cap","Big.Salmon",2044,3113.5,1776.75,4133
"IMEG.cap","Big.Salmon",2045,3141.5,1651,4060
"IMEG.cap","Big.Salmon",2046,3161.5,1681,4215.25
"IMEG.cap","Big.Salmon",2047,3158.5,1928.75,4213
"IMEG.cap","Big.Salmon",2048,3049,1634.75,4158.5
"IMEG.cap","Big.Salmon",2049,3079.5,1747.75,4143.5
"IMEG.cap","Big.Salmon",2050,3054,1751.25,4082
"IMEG.cap","Big.Salmon",2051,3059.5,1815.5,4110.25
"IMEG.cap","MiddleYukonR.andtribs.",2024,0,0,0
"IMEG.cap","MiddleYukonR.andtribs.",2025,295,170.75,584.25
"IMEG.cap","MiddleYukonR.andtribs.",2026,534.5,259.75,2635.25
"IMEG.cap","MiddleYukonR.andtribs.",2027,1026,382.75,7278.25
"IMEG.cap","MiddleYukonR.andtribs.",2028,691,315,5017.25
"IMEG.cap","MiddleYukonR.andtribs.",2029,632.5,285,4812.75
"IMEG.cap","MiddleYukonR.andtribs.",2030,1072,368,7454.25
"IMEG.cap","MiddleYukonR.andtribs.",2031,2013.5,497.75,9926.75
"IMEG.cap","MiddleYukonR.andtribs.",2032,6464,2097.5,9301.25
"IMEG.cap","MiddleYukonR.andtribs.",2033,6905,3232.5,9425.75
"IMEG.cap","MiddleYukonR.andtribs.",2034,6811,2192,9338.75
"IMEG.cap","MiddleYukonR.andtribs.",2035,6728,2793,9330
"IMEG.cap","MiddleYukonR.andtribs.",2036,6686.5,2201.25,9418.5
"IMEG.cap","MiddleYukonR.andtribs.",2037,7080,3172,9637.25
"IMEG.cap","MiddleYukonR.andtribs.",2038,7604.5,4356.25,10098.75
"IMEG.cap","MiddleYukonR.andtribs.",2039,7572,3747.75,10137.5
"IMEG.cap","MiddleYukonR.andtribs.",2040,7656,3809,10404.75
"IMEG.cap","MiddleYukonR.andtribs.",2041,7504.5,3372.5,10396.25
"IMEG.cap","MiddleYukonR.andtribs.",2042,7733.5,4592.75,10365
"IMEG.cap","MiddleYukonR.andtribs.",2043,7708,4330.75,10272.75
"IMEG.cap","MiddleYukonR.andtribs.",2044,7634.5,4147,10227
"IMEG.cap","MiddleYukonR.andtribs.",2045,7734.5,4318.75,10327.75
"IMEG.cap","MiddleYukonR.andtribs.",2046,7933,4582.25,10445.25
"IMEG.cap","MiddleYukonR.andtribs.",2047,8092,4794.25,10490.5
"IMEG.cap","MiddleYukonR.andtribs.",2048,7803,4369.75,10354.5
"IMEG.cap","MiddleYukonR.andtribs.",2049,7675,4431.25,10553.25
"IMEG.cap","MiddleYukonR.andtribs.",2050,7844,4613,10337.5
"IMEG.cap","MiddleYukonR.andtribs.",2051,7798.5,4715.5,10511
"IMEG.cap","Nordenskiold",2024,0,0,0
"IMEG.cap","Nordenskiold",2025,127,70,266.25
"IMEG.cap","Nordenskiold",2026,179,76,739
"IMEG.cap","Nordenskiold",2027,298,100,1597.25
"IMEG.cap","Nordenskiold",2028,237.5,88,1448.25
"IMEG.cap","Nordenskiold",2029,249,85.75,1736.25
"IMEG.cap","Nordenskiold",2030,321.5,91,1811.5
"IMEG.cap","Nordenskiold",2031,320,81.75,1482.5
"IMEG.cap","Nordenskiold",2032,593,157.75,1418.25
"IMEG.cap","Nordenskiold",2033,570.5,159.5,1349.5
"IMEG.cap","Nordenskiold",2034,510.5,147,1265.25
"IMEG.cap","Nordenskiold",2035,569,182,1319
"IMEG.cap","Nordenskiold",2036,628,179.75,1417
"IMEG.cap","Nordenskiold",2037,729.5,238.75,1549
"IMEG.cap","Nordenskiold",2038,784,271.75,1694.25
"IMEG.cap","Nordenskiold",2039,761.5,233.25,1748
"IMEG.cap","Nordenskiold",2040,768.5,242.75,1732.25
"IMEG.cap","Nordenskiold",2041,758.5,219.5,1797.5
"IMEG.cap","Nordenskiold",2042,813.5,265.75,1752.25
"IMEG.cap","Nordenskiold",2043,797.5,240.75,1681.75
"IMEG.cap","Nordenskiold",2044,765,226.75,1573
"IMEG.cap","Nordenskiold",2045,707.5,239.75,1622.75
"IMEG.cap","Nordenskiold",2046,766,254.5,1681.75
"IMEG.cap","Nordenskiold",2047,778.5,253,1633.5
"IMEG.cap","Nordenskiold",2048,762,233,1569
"IMEG.cap","Nordenskiold",2049,737,269,1636
"IMEG.cap","Nordenskiold",2050,743,260,1620
"IMEG.cap","Nordenskiold",2051,732,271,1577.5
"IMEG.cap","NorthernYukonR.andtribs.",2024,0,0,0
"IMEG.cap","NorthernYukonR.andtribs.",2025,128,76,262.25
"IMEG.cap","NorthernYukonR.andtribs.",2026,232.5,113,1098.75
"IMEG.cap","NorthernYukonR.andtribs.",2027,408.5,161.75,2861.5
"IMEG.cap","NorthernYukonR.andtribs.",2028,308.5,138.75,2175
"IMEG.cap","NorthernYukonR.andtribs.",2029,368.5,169,2686.75
"IMEG.cap","NorthernYukonR.andtribs.",2030,598,209,3922.5
"IMEG.cap","NorthernYukonR.andtribs.",2031,1076.5,248.75,4785.25
"IMEG.cap","NorthernYukonR.andtribs.",2032,3203,1041.25,4630
"IMEG.cap","NorthernYukonR.andtribs.",2033,3448.5,1596,4666.25
"IMEG.cap","NorthernYukonR.andtribs.",2034,3426,1132,4657.25
"IMEG.cap","NorthernYukonR.andtribs.",2035,3438,1436.25,4660
"IMEG.cap","NorthernYukonR.andtribs.",2036,3408,1193.75,4601
"IMEG.cap","NorthernYukonR.andtribs.",2037,3574.5,1703.5,4622.75
"IMEG.cap","NorthernYukonR.andtribs.",2038,3754.5,2302.75,4842.25
"IMEG.cap","NorthernYukonR.andtribs.",2039,3817.5,1909.75,4795.75
"IMEG.cap","NorthernYukonR.andtribs.",2040,3793.5,1983.75,4929
"IMEG.cap","NorthernYukonR.andtribs.",2041,3741,1793.25,4900.75
"IMEG.cap","NorthernYukonR.andtribs.",2042,3880,2332.75,4977
"IMEG.cap","NorthernYukonR.andtribs.",2043,3873.5,2286.75,4980.5
"IMEG.cap","NorthernYukonR.andtribs.",2044,3895,2184.5,4992.25
"IMEG.cap","NorthernYukonR.andtribs.",2045,3842,2217,4936.5
"IMEG.cap","NorthernYukonR.andtribs.",2046,3916.5,2312,4998.75
"IMEG.cap","NorthernYukonR.andtribs.",2047,3934.5,2510.5,5026
"IMEG.cap","NorthernYukonR.andtribs.",2048,3927,2169.75,5021.5
"IMEG.cap","NorthernYukonR.andtribs.",2049,3923,2311,5003
"IMEG.cap","NorthernYukonR.andtribs.",2050,3883,2366.5,4915
"IMEG.cap","NorthernYukonR.andtribs.",2051,3916,2491.5,4892.25
"IMEG.cap","Pelly",2024,0,0,0
"IMEG.cap","Pelly",2025,136,78,272.5
"IMEG.cap","Pelly",2026,290,147,1398
