"HCR","CU","year","H.50","H.25","H.75"
"fixed.ER","Big.Salmon",2024,0,0,0
"fixed.ER","Big.Salmon",2025,1323,1108,1621.25
"fixed.ER","Big.Salmon",2026,1212,899,1815
"fixed.ER","Big.Salmon",2027,1281.5,753.5,2389.5
"fixed.ER","Big.Salmon",2028,1245.5,590.25,2698.75
"fixed.ER","Big.Salmon",2029,1122.5,420,2728
"fixed.ER","Big.Salmon",2030,900.5,313.25,2477
"fixed.ER","Big.Salmon",2031,647.5,180.5,2071.5
"fixed.ER","Big.Salmon",2032,649.5,121.5,2406.25
"fixed.ER","Big.Salmon",2033,596.5,105.75,3332.25
"fixed.ER","Big.Salmon",2034,545,78.75,3785.5
"fixed.ER","Big.Salmon",2035,483,56,3462
"fixed.ER","Big.Salmon",2036,351,35.75,3925.5
"fixed.ER","Big.Salmon",2037,366.5,20,4043
"fixed.ER","Big.Salmon",2038,283.5,12,4216.75
"fixed.ER","Big.Salmon",2039,288,8,4603
"fixed.ER","Big.Salmon",2040,247,3,4682.75
"fixed.ER","Big.Salmon",2041,224.5,0,4830.75
"fixed.ER","Big.Salmon",2042,183,0,5204.75
"fixed.ER","Big.Salmon",2043,140.5,0,5651.5
"fixed.ER","Big.Salmon",2044,114.5,0,4384
"fixed.ER","Big.Salmon",2045,99.5,0,4296.75
"fixed.ER","Big.Salmon",2046,79,0,3444.25
"fixed.ER","Big.Salmon",2047,62,0,4021.5
"fixed.ER","Big.Salmon",2048,59,0,4043.75
"fixed.ER","Big.Salmon",2049,38.5,0,4080.25
"fixed.ER","Big.Salmon",2050,22,0,3494.5
"fixed.ER","Big.Salmon",2051,11.5,0,2371.75
"fixed.ER","Big.Salmon",2052,8,0,2304.75
"fixed.ER","Big.Salmon",2053,5.5,0,2072.75
"fixed.ER","Big.Salmon",2054,3,0,2484.25
"fixed.ER","Big.Salmon",2055,0,0,2484.75
"fixed.ER","Big.Salmon",2056,0,0,2938
"fixed.ER","Big.Salmon",2057,0,0,1972.25
"fixed.ER","Big.Salmon",2058,0,0,2267.5
"fixed.ER","Big.Salmon",2059,0,0,1828
"fixed.ER","Big.Salmon",2060,0,0,1551.25
"fixed.ER","Big.Salmon",2061,0,0,1351.25
"fixed.ER","Big.Salmon",2062,0,0,1131
"fixed.ER","Big.Salmon",2063,0,0,980.25
"fixed.ER","Big.Salmon",2064,0,0,1142
"fixed.ER","Big.Salmon",2065,0,0,826.75
"fixed.ER","Big.Salmon",2066,0,0,686.25
"fixed.ER","Big.Salmon",2067,0,0,535
"fixed.ER","MiddleYukonR.andtribs.",2024,0,0,0
"fixed.ER","MiddleYukonR.andtribs.",2025,4659.5,3719,6033.25
"fixed.ER","MiddleYukonR.andtribs.",2026,5064.5,3499,7990
"fixed.ER","MiddleYukonR.andtribs.",2027,4824,2545.75,8673
"fixed.ER","MiddleYukonR.andtribs.",2028,3516.5,1623,6680
"fixed.ER","MiddleYukonR.andtribs.",2029,2741,1123.25,7077.25
"fixed.ER","MiddleYukonR.andtribs.",2030,3222,1138.75,8425.5
"fixed.ER","MiddleYukonR.andtribs.",2031,2776.5,819.5,7961
"fixed.ER","MiddleYukonR.andtribs.",2032,2414.5,697.75,8539.75
"fixed.ER","MiddleYukonR.andtribs.",2033,2294.5,563,9800.25
"fixed.ER","MiddleYukonR.andtribs.",2034,1965,406.25,9953
"fixed.ER","MiddleYukonR.andtribs.",2035,1790.5,308,10947
"fixed.ER","MiddleYukonR.andtribs.",2036,1817,226,11036.5
"fixed.ER","MiddleYukonR.andtribs.",2037,1535.5,169,10766.75
"fixed.ER","MiddleYukonR.andtribs.",2038,1310,133.75,10616.25
"fixed.ER","MiddleYukonR.andtribs.",2039,1157.5,81.75,10036.25
"fixed.ER","MiddleYukonR.andtribs.",2040,1169,61.75,11805.25
"fixed.ER","MiddleYukonR.andtribs.",2041,1143.5,45.75,12999.75
"fixed.ER","MiddleYukonR.andtribs.",2042,1108.5,42,14400.75
"fixed.ER","MiddleYukonR.andtribs.",2043,1029.5,23.75,14474.5
"fixed.ER","MiddleYukonR.andtribs.",2044,923.5,14.5,13819
"fixed.ER","MiddleYukonR.andtribs.",2045,832.5,8.5,13953
"fixed.ER","MiddleYukonR.andtribs.",2046,609.5,3.75,16172.5
"fixed.ER","MiddleYukonR.andtribs.",2047,530.5,1,12628.25
"fixed.ER","MiddleYukonR.andtribs.",2048,585.5,0,11569.25
"fixed.ER","MiddleYukonR.andtribs.",2049,516,0,11174.5
"fixed.ER","MiddleYukonR.andtribs.",2050,383,0,12986.25
"fixed.ER","MiddleYukonR.andtribs.",2051,332.5,0,13355
"fixed.ER","MiddleYukonR.andtribs.",2052,340.5,0,16473.75
"fixed.ER","MiddleYukonR.andtribs.",2053,261.5,0,17737
"fixed.ER","MiddleYukonR.andtribs.",2054,359.5,0,17194
"fixed.ER","MiddleYukonR.andtribs.",2055,222,0,17479.75
"fixed.ER","MiddleYukonR.andtribs.",2056,139,0,15157.75
"fixed.ER","MiddleYukonR.andtribs.",2057,98,0,16826.5
"fixed.ER","MiddleYukonR.andtribs.",2058,86,0,15740
"fixed.ER","MiddleYukonR.andtribs.",2059,91.5,0,11727.75
"fixed.ER","MiddleYukonR.andtribs.",2060,77,0,11887
"fixed.ER","MiddleYukonR.andtribs.",2061,80.5,0,12291.5
"fixed.ER","MiddleYukonR.andtribs.",2062,45.5,0,10487.5
"fixed.ER","MiddleYukonR.andtribs.",2063,22,0,9188.5
"fixed.ER","MiddleYukonR.andtribs.",2064,26.5,0,7734.5
"fixed.ER","MiddleYukonR.andtribs.",2065,6.5,0,8165.5
"fixed.ER","MiddleYukonR.andtribs.",2066,2.5,0,7430
"fixed.ER","MiddleYukonR.andtribs.",2067,5,0,7924.75
"fixed.ER","Nordenskiold",2024,0,0,0
"fixed.ER","Nordenskiold",2025,1352,1049.25,1807
"fixed.ER","Nordenskiold",2026,1566.5,1080.5,2577
"fixed.ER","Nordenskiold",2027,1428,795,2602.75
"fixed.ER","Nordenskiold",2028,1369.5,623.5,2949.5
"fixed.ER","Nordenskiold",2029,1516,625.75,3382.75
"fixed.ER","Nordenskiold",2030,1341.5,502.5,3558
"fixed.ER","Nordenskiold",2031,1131.5,354.25,3159.25
"fixed.ER","Nordenskiold",2032,1068.5,264.5,3651
"fixed.ER","Nordenskiold",2033,1091,243,3939.75
"fixed.ER","Nordenskiold",2034,1105,180.25,4288
"fixed.ER","Nordenskiold",2035,986.5,155,4422.25
"fixed.ER","Nordenskiold",2036,866.5,115.25,3960.75
"fixed.ER","Nordenskiold",2037,768.5,70.75,3840
"fixed.ER","Nordenskiold",2038,725.5,57.5,3930.5
"fixed.ER","Nordenskiold",2039,695.5,51.75,3752.5
"fixed.ER","Nordenskiold",2040,652,35.75,3636.75
"fixed.ER","Nordenskiold",2041,588.5,23.75,4329
"fixed.ER","Nordenskiold",2042,471.5,14.25,4303
"fixed.ER","Nordenskiold",2043,455.5,9.5,4623.25
