"HCR","CU","year","S.50","S.25","S.75"
"fixed.ER","Big.Salmon",2024,1903.5,1846,1979.5
"fixed.ER","Big.Salmon",2025,797,686,974
"fixed.ER","Big.Salmon",2026,719,553.5,922.75
"fixed.ER","Big.Salmon",2027,731,555.5,1005.75
"fixed.ER","Big.Salmon",2028,727.5,518.75,1053.5
"fixed.ER","Big.Salmon",2029,695.5,476.75,1069.5
"fixed.ER","Big.Salmon",2030,565,361.25,931.25
"fixed.ER","Big.Salmon",2031,387.5,230.75,697
"fixed.ER","Big.Salmon",2032,342.5,174,664.25
"fixed.ER","Big.Salmon",2033,328,163.25,678.5
"fixed.ER","Big.Salmon",2034,325,147,718
"fixed.ER","Big.Salmon",2035,290.5,128,661.75
"fixed.ER","Big.Salmon",2036,249.5,90,587
"fixed.ER","Big.Salmon",2037,188,60.75,534
"fixed.ER","Big.Salmon",2038,156,0,524
"fixed.ER","Big.Salmon",2039,164.5,0,523
"fixed.ER","Big.Salmon",2040,153.5,0,522.75
"fixed.ER","Big.Salmon",2041,124.5,0,546.25
"fixed.ER","Big.Salmon",2042,107,0,452.5
"fixed.ER","Big.Salmon",2043,90,0,428.5
"fixed.ER","Big.Salmon",2044,92,0,427
"fixed.ER","Big.Salmon",2045,76,0,414.25
"fixed.ER","Big.Salmon",2046,65.5,0,425.75
"fixed.ER","Big.Salmon",2047,52.5,0,430.25
"fixed.ER","Big.Salmon",2048,0,0,365.5
"fixed.ER","Big.Salmon",2049,0,0,371.5
"fixed.ER","Big.Salmon",2050,0,0,369.25
"fixed.ER","Big.Salmon",2051,0,0,394
"fixed.ER","Big.Salmon",2052,0,0,419.25
"fixed.ER","Big.Salmon",2053,0,0,387.75
"fixed.ER","Big.Salmon",2054,0,0,358.75
"fixed.ER","Big.Salmon",2055,0,0,325
"fixed.ER","Big.Salmon",2056,0,0,317.5
"fixed.ER","Big.Salmon",2057,0,0,341.5
"fixed.ER","Big.Salmon",2058,0,0,305.75
"fixed.ER","Big.Salmon",2059,0,0,329.25
"fixed.ER","Big.Salmon",2060,0,0,284
"fixed.ER","Big.Salmon",2061,0,0,277
"fixed.ER","Big.Salmon",2062,0,0,257
"fixed.ER","Big.Salmon",2063,0,0,246.25
"fixed.ER","Big.Salmon",2064,0,0,266.75
"fixed.ER","Big.Salmon",2065,0,0,234.25
"fixed.ER","Big.Salmon",2066,0,0,237.75
"fixed.ER","Big.Salmon",2067,0,0,216.5
"fixed.ER","MiddleYukonR.andtribs.",2024,6338.5,6071,6580.5
"fixed.ER","MiddleYukonR.andtribs.",2025,2601.5,2079.5,3203.25
"fixed.ER","MiddleYukonR.andtribs.",2026,2581,1849.5,3575.5
"fixed.ER","MiddleYukonR.andtribs.",2027,2272,1599,3388.5
"fixed.ER","MiddleYukonR.andtribs.",2028,1754.5,1162,2603
"fixed.ER","MiddleYukonR.andtribs.",2029,1672.5,1095.5,2634.5
