CU_ID,START_YEAR,END_YEAR,METHOD_COLLECTION,METHOD_ANALYSIS,YEAR_TYPE,AGE_TYPE,INFORMATION_QUALITY,INDEX_QUALITY,REFERENCE,CONTACT,COMMENTS
CK-68,1985,2024,"Sonar and test fisheries, genetics, in river harvest",State-space run-reconstructions,return,European,3,2,"Connors, B.M., O’Dell, A., Hunter, H., Glaser, D., Gill, J., Rossi, S., and Churchland, C. 2025. Stock status and biological and fishery consequences of alternative harvest and rebuilding actions for Yukon River Chinook salmon (Oncorhynchus tshawytscha). DFO Can. Sci. Advis. Sec. Res. Doc. 2025/nnn. iv + 129 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
CK-69,1985,2024,"Sonar and test fisheries, genetics, in river harvest",State-space run-reconstructions,return,European,3,2,"Connors, B.M., O’Dell, A., Hunter, H., Glaser, D., Gill, J., Rossi, S., and Churchland, C. 2025. Stock status and biological and fishery consequences of alternative harvest and rebuilding actions for Yukon River Chinook salmon (Oncorhynchus tshawytscha). DFO Can. Sci. Advis. Sec. Res. Doc. 2025/nnn. iv + 129 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
CK-70,1985,2024,"Sonar and test fisheries, genetics, in river harvest",State-space run-reconstructions,return,European,3,2,"Connors, B.M., O’Dell, A., Hunter, H., Glaser, D., Gill, J., Rossi, S., and Churchland, C. 2025. Stock status and biological and fishery consequences of alternative harvest and rebuilding actions for Yukon River Chinook salmon (Oncorhynchus tshawytscha). DFO Can. Sci. Advis. Sec. Res. Doc. 2025/nnn. iv + 129 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
CK-71,1985,2024,"Sonar and test fisheries, genetics, in river harvest",State-space run-reconstructions,return,European,3,2,"Connors, B.M., O’Dell, A., Hunter, H., Glaser, D., Gill, J., Rossi, S., and Churchland, C. 2025. Stock status and biological and fishery consequences of alternative harvest and rebuilding actions for Yukon River Chinook salmon (Oncorhynchus tshawytscha). DFO Can. Sci. Advis. Sec. Res. Doc. 2025/nnn. iv + 129 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
CK-72,1985,2024,"Sonar and test fisheries, genetics, in river harvest",State-space run-reconstructions,return,European,3,2,"Connors, B.M., O’Dell, A., Hunter, H., Glaser, D., Gill, J., Rossi, S., and Churchland, C. 2025. Stock status and biological and fishery consequences of alternative harvest and rebuilding actions for Yukon River Chinook salmon (Oncorhynchus tshawytscha). DFO Can. Sci. Advis. Sec. Res. Doc. 2025/nnn. iv + 129 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
CK-73,1985,2024,"Sonar and test fisheries, genetics, in river harvest",State-space run-reconstructions,return,European,3,2,"Connors, B.M., O’Dell, A., Hunter, H., Glaser, D., Gill, J., Rossi, S., and Churchland, C. 2025. Stock status and biological and fishery consequences of alternative harvest and rebuilding actions for Yukon River Chinook salmon (Oncorhynchus tshawytscha). DFO Can. Sci. Advis. Sec. Res. Doc. 2025/nnn. iv + 129 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
CK-74,1985,2024,"Sonar and test fisheries, genetics, in river harvest",State-space run-reconstructions,return,European,3,2,"Connors, B.M., O’Dell, A., Hunter, H., Glaser, D., Gill, J., Rossi, S., and Churchland, C. 2025. Stock status and biological and fishery consequences of alternative harvest and rebuilding actions for Yukon River Chinook salmon (Oncorhynchus tshawytscha). DFO Can. Sci. Advis. Sec. Res. Doc. 2025/nnn. iv + 129 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
CK-75,1985,2024,"Sonar and test fisheries, genetics, in river harvest",State-space run-reconstructions,return,European,3,2,"Connors, B.M., O’Dell, A., Hunter, H., Glaser, D., Gill, J., Rossi, S., and Churchland, C. 2025. Stock status and biological and fishery consequences of alternative harvest and rebuilding actions for Yukon River Chinook salmon (Oncorhynchus tshawytscha). DFO Can. Sci. Advis. Sec. Res. Doc. 2025/nnn. iv + 129 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
CK-76,1985,2024,"Sonar and test fisheries, genetics, in river harvest",State-space run-reconstructions,return,European,3,2,"Connors, B.M., O’Dell, A., Hunter, H., Glaser, D., Gill, J., Rossi, S., and Churchland, C. 2025. Stock status and biological and fishery consequences of alternative harvest and rebuilding actions for Yukon River Chinook salmon (Oncorhynchus tshawytscha). DFO Can. Sci. Advis. Sec. Res. Doc. 2025/nnn. iv + 129 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
CK-77,2014,2024,Sonar,,return,European,3,2,"Connors, B.M., O’Dell, A., Hunter, H., Glaser, D., Gill, J., Rossi, S., and Churchland, C. 2025. Stock status and biological and fishery consequences of alternative harvest and rebuilding actions for Yukon River Chinook salmon (Oncorhynchus tshawytscha). DFO Can. Sci. Advis. Sec. Res. Doc. 2025/nnn. iv + 129 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
CK-78,2014,2024,Sonar,,return,European,3,2,"Connors, B.M., O’Dell, A., Hunter, H., Glaser, D., Gill, J., Rossi, S., and Churchland, C. 2025. Stock status and biological and fishery consequences of alternative harvest and rebuilding actions for Yukon River Chinook salmon (Oncorhynchus tshawytscha). DFO Can. Sci. Advis. Sec. Res. Doc. 2025/nnn. iv + 129 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
CK-79,,,,,,,,,,,no data avaialble
