POP_ID,START_YEAR,END_YEAR,METHOD_COLLECTION,METHOD_ANALYSIS,YEAR_TYPE,AGE_TYPE,INFOMATION_QUALITY,INDEX_QUALITY,REFERENCE,CONTACT,COMMENTS
44597,1978,2011,aerial,,return,,3,2,"Pestal, G., Mather, V., West, F., Liller, Z., and Smith, S. 2022. Review of available abundance, age, and stock composition data useful for reconstructing historical stock specific runs, harvest, and escapement of Yukon River Chinook salmon (Oncorhynchus tshawytscha), 1981-2019. Pacific Salmon Commission Technical Report 48: iii + 347 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
44597,2005,2024,sonar,,return,,1,2,"Pestal, G., Mather, V., West, F., Liller, Z., and Smith, S. 2022. Review of available abundance, age, and stock composition data useful for reconstructing historical stock specific runs, harvest, and escapement of Yukon River Chinook salmon (Oncorhynchus tshawytscha), 1981-2019. Pacific Salmon Commission Technical Report 48: iii + 347 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
44595,1995,2018,weir,,return,,1,2,"Pestal, G., Mather, V., West, F., Liller, Z., and Smith, S. 2022. Review of available abundance, age, and stock composition data useful for reconstructing historical stock specific runs, harvest, and escapement of Yukon River Chinook salmon (Oncorhynchus tshawytscha), 1981-2019. Pacific Salmon Commission Technical Report 48: iii + 347 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
44577,1998,2003,weir,,return,,1,2,"Pestal, G., Mather, V., West, F., Liller, Z., and Smith, S. 2022. Review of available abundance, age, and stock composition data useful for reconstructing historical stock specific runs, harvest, and escapement of Yukon River Chinook salmon (Oncorhynchus tshawytscha), 1981-2019. Pacific Salmon Commission Technical Report 48: iii + 347 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
44625,2009,2024,sonar,,return,,1,2,"Pestal, G., Mather, V., West, F., Liller, Z., and Smith, S. 2022. Review of available abundance, age, and stock composition data useful for reconstructing historical stock specific runs, harvest, and escapement of Yukon River Chinook salmon (Oncorhynchus tshawytscha), 1981-2019. Pacific Salmon Commission Technical Report 48: iii + 347 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
44583,2004,2014,foot,,return,,3,2,"Pestal, G., Mather, V., West, F., Liller, Z., and Smith, S. 2022. Review of available abundance, age, and stock composition data useful for reconstructing historical stock specific runs, harvest, and escapement of Yukon River Chinook salmon (Oncorhynchus tshawytscha), 1981-2019. Pacific Salmon Commission Technical Report 48: iii + 347 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
44634,2009,2013,aerial,,return,,3,2,"Pestal, G., Mather, V., West, F., Liller, Z., and Smith, S. 2022. Review of available abundance, age, and stock composition data useful for reconstructing historical stock specific runs, harvest, and escapement of Yukon River Chinook salmon (Oncorhynchus tshawytscha), 1981-2019. Pacific Salmon Commission Technical Report 48: iii + 347 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
44601,1980,2024,aerial,,return,,3,2,"Pestal, G., Mather, V., West, F., Liller, Z., and Smith, S. 2022. Review of available abundance, age, and stock composition data useful for reconstructing historical stock specific runs, harvest, and escapement of Yukon River Chinook salmon (Oncorhynchus tshawytscha), 1981-2019. Pacific Salmon Commission Technical Report 48: iii + 347 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
44598,1969,2024,aerial,,return,,3,2,"Pestal, G., Mather, V., West, F., Liller, Z., and Smith, S. 2022. Review of available abundance, age, and stock composition data useful for reconstructing historical stock specific runs, harvest, and escapement of Yukon River Chinook salmon (Oncorhynchus tshawytscha), 1981-2019. Pacific Salmon Commission Technical Report 48: iii + 347 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
44594,1981,1990,aerial,,return,,3,2,"Pestal, G., Mather, V., West, F., Liller, Z., and Smith, S. 2022. Review of available abundance, age, and stock composition data useful for reconstructing historical stock specific runs, harvest, and escapement of Yukon River Chinook salmon (Oncorhynchus tshawytscha), 1981-2019. Pacific Salmon Commission Technical Report 48: iii + 347 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
44596,1981,1996,aerial,,return,,3,2,"Pestal, G., Mather, V., West, F., Liller, Z., and Smith, S. 2022. Review of available abundance, age, and stock composition data useful for reconstructing historical stock specific runs, harvest, and escapement of Yukon River Chinook salmon (Oncorhynchus tshawytscha), 1981-2019. Pacific Salmon Commission Technical Report 48: iii + 347 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
44578,1970,2024,weir,,return,,1,2,"Pestal, G., Mather, V., West, F., Liller, Z., and Smith, S. 2022. Review of available abundance, age, and stock composition data useful for reconstructing historical stock specific runs, harvest, and escapement of Yukon River Chinook salmon (Oncorhynchus tshawytscha), 1981-2019. Pacific Salmon Commission Technical Report 48: iii + 347 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
44602,1980,2020,aerial,,return,,3,2,"Pestal, G., Mather, V., West, F., Liller, Z., and Smith, S. 2022. Review of available abundance, age, and stock composition data useful for reconstructing historical stock specific runs, harvest, and escapement of Yukon River Chinook salmon (Oncorhynchus tshawytscha), 1981-2019. Pacific Salmon Commission Technical Report 48: iii + 347 p.",Brendan Connors (brendan.connors@dfo-mpo.gc.ca),
